修习者,rdfs:type,PROPERTY
书童,rdfs:domain,人
性格,rdfs:range,特点
义女,rdfs:domain,人
主上,rdfs:range,人
父母,rdfs:domain,人
后代,rdfs:domain,人
久居地,rdfs:range,地点
职称,rdfs:range,职位
三哥,rdfs:domain,人
祖母,rdfs:type,RELATION
外形,rdfs:type,PROPERTY
前妻,rdfs:domain,人
大师兄,rdfs:type,RELATION
属于,rdfs:domain,人
八哥,rdfs:range,男人
鄙视的人,rdfs:domain,人
亲属,rdfs:type,owl:symmetricproperty
弟子,rdfs:domain,人
恩人,rdfs:domain,人
师友,rdfs:domain,人
时代,rdfs:type,PROPERTY
所属门派,owl:sameas,門派
情人,rdfs:type,owl:symmetricproperty
隶属,owl:sameas,所属
曾祖母,rdfs:type,owl:functionalproperty
十三弟,rdfs:domain,人
情缘,rdfs:range,人
所处朝代,rdfs:type,owl:functionalproperty
先祖,rdfs:type,owl:transitiveproperty
旧版儿媳,rdfs:subpropertyof,家人
军衔,owl:sameas,军职
前妻,owl:inverseof,前夫
义母,rdfs:range,女人
义弟,rdfs:type,RELATION
姓名,rdfs:type,PROPERTY
代表作品,rdfs:type,owl:inversefunctionalproperty
曾用兵器,rdfs:range,武器
所处朝代,rdfs:domain,人
成员,rdfs:domain,组织
居處,rdfs:range,地点
妻弟,rdfs:range,男人
出生日期,rdfs:type,PROPERTY
救命恩人,rdfs:subpropertyof,恩人
小说作者,rdfs:range,人
作者,rdfs:range,人
侄孙媳,rdfs:domain,人
爵位,rdfs:type,PROPERTY
谥号,rdfs:type,PROPERTY
情缘,rdfs:type,owl:symmetricproperty
逝地,owl:sameas,逝世地
愿望,rdfs:range,事件
祖师,rdfs:range,人
外甥女,rdfs:type,RELATION
义子,rdfs:range,男人
特长,rdfs:range,事件
法名,rdfs:range,名称
恋人,rdfs:domain,人
家人,rdfs:range,人
养子,rdfs:domain,人
恩公,rdfs:range,人
属下,rdfs:domain,人
角色关系,rdfs:type,owl:inversefunctionalproperty
徒孙,rdfs:range,人
名号,rdfs:type,PROPERTY
小说武功,rdfs:range,武功
作者,rdfs:domain,作品
所属,rdfs:range,组织
表哥,rdfs:type,RELATION
人物关系,rdfs:type,PROPERTY
家臣,rdfs:subpropertyof,属下
毒药,rdfs:type,PROPERTY
忘年交,rdfs:type,owl:symmetricproperty
九弟,rdfs:range,男人
容貌,rdfs:range,外貌
