A01,人,character
A02,男人,man
A03,女人,woman
A04,物品,goods
A05,武器,arms
A06,作品,works
A07,年龄,age
A08,地点,location
A09,组织,organization
A10,境界,realm
A11,外貌,appearance
A12,职位,position
A13,武功,gest
A14,拼音,pinyin
A15,事件,event
A16,名称,name
A17,性别,gender
A18,国家,country
A19,时间,time
A20,特点,features
A21,民族,nationality
A22,关系,relation
A23,军衔,rank
A24,朝代,dynasty
A25,地位,status
A26,动物,animal
A27,属性,arrtibute
A28,特长,specialty
A29,爵位,knighthood
A30,章回,chapter
A31,语句,sentence
A32,植物,plant
A33,身份,identity
A34,数字,digital
A35,家族,family
A36,形容,describle
