包惜弱,饰演,林秀君
韦双双,登场作品,
努尔哈赤,所处时代,明末（后金）
梁自进,师兄,成自学
林平之,妻子,
谢逊,别名,谢退思
洪安通,武功,化骨绵掌
常遇春,谥号,忠武
萧峰,参与战役,聚贤庄之战，少室山武林群雄大会
天鸣方丈,身份,
华筝,别名,华筝妹子
何铁手,武功,五毒教
朱丹臣,擅长,书画
苏星河,饰演,韩振华
班淑娴,祖师,灵宝道人
灭绝师太,绝技,四象掌等
公孙绿萼,容貌,嘴边有粒小黑痣
李青萝,爱好,种山茶花
沐剑声,登场作品,《鹿鼎记》
陈孤雁,身份,丐帮四大长老之一
多尔衮,主要成就,统一全国
小昭,主要成就,为救张无忌被迫担任波斯明教教主
侯通海,登场作品,《射雕英雄传》
瑛姑,居所,黑龙潭
乔峰,配音,黄志成（2003年内地电视剧）
归钟,中文名,
史火龙,武功,打狗棒法
崔百泉,门派,伏牛派
李秋水,绝技,寒袖拂穴
段智兴,主要成就,渡化裘千仞
杨康,中文名,杨康
李莫愁,中文名,李莫愁
韩宝驹,武功,金龙鞭法
公孙绿萼,配音者,张颂欣等
百草仙,性别,男
苏荃,前夫,洪安通
查良琇,出生日期,1925年
李莫愁,国籍,南宋
戚芳,同门,万圭（丈夫）
焦宛儿,评价,聪明能干的好姑娘
冯默风,师兄,陈玄风
张康年,中文名,张康年
康广陵,师傅,苏星河
仪和,中文名,仪和
杨过,所创绝学,《黯然销魂掌》
袁承志,师父,穆人清
拖雷,所处时代,大蒙古国
焦公礼,出场目次,11回
金花婆婆,饰演,阎青妤 合拍电视剧《倚天屠龙记》
包不同,性格特点,直言不讳
闵子华,登场作品,《碧血剑》
慕天颜,字号,字拱极
萧峰,岳父/三伯,段正淳
戚长发,饰演,于东江2003版《连城诀》
段延庆,别名,恶贯满盈
武三娘,饰演,
何足道,别名,昆仑三圣
鹿清笃,中文名,鹿清笃
苏星河,饰演,刘仲元
无尘道长,八弟,杨成协
白世镜,身份,丐帮执法长老
温方山,女儿,
田伯光,中文名,田伯光
尹克西,结局,
完颜萍,民族,女真
殷梨亭,别名,武当七侠
朱玫,出生日期,[2]
九难,徒弟,阿珂
秦红棉,武功,
赵志敬,饰演,岳跃利1998版《神雕侠侣》
忽必烈,汗号,薛禅汗
张君宝,出生日期,4月9日
孙仲君,登场作品,金庸小说《碧血剑》
陈家洛,义父,于万亭
丁春秋,星宿三宝,柔丝索
虚竹,性别,
苗人凤,性别,男
林朝英,后代传人,小龙女、李莫愁、黄衫女子
仪琳,门派,恒山派
秦红棉,情人,
渡厄,师弟,
田青文,中文名,田青文
陈友谅,所处时代,元末
殷天正,逝世日期,
陆菲青,师弟,
公孙绿萼,容貌,但她秀雅脱俗
慕天颜,出生日期,天启四年（1624年）
彭莹玉,主要成就,元末民变领袖之一
万震山,武功,唐诗剑法（连城剑法）
殷素素,朝代,元朝
欧阳锋,儿子,欧阳克
赵敏,登场回目,第二十三回
朱子柳,民族,白族
胡一刀,别名,辽东大侠
常遇春,主要成就,
钟灵,身份,大理国贤妃
公孙绿萼,别名,萼儿
桑土公,中文名,桑土公
孟伯飞,大儿子,孟铮
萧峰,未婚妻,
余鱼同,妻子,李沅芷
余鱼同,信仰,
朱元璋,谥号,
张翠山,别名,张五侠
完颜洪烈,性别,男
木婉清,父亲,段正淳
灭绝师太,配音,林晓萍
令狐冲,爱好,喝酒，弹琴
凌退思,结局,中毒而死
曲洋,饰演,姜大卫2000版《笑傲江湖》
胖头陀,师兄,瘦头陀
温方山,性别,男
佟国纲,民族族群,旗人
苏星河,师弟,丁春秋
萧远山,国籍,辽国
青灵子,門派,「昆仑派」掌门人
穆旦,逝世日期,
彭莹玉,性别,男
拖雷,信仰,长生天
段延庆,饰演,展开
忽必烈,主要成就,开凿大运河
穆旦,主要成就,在《大公报》和《文聚》上发表诗作
赵钱孙,结局,被萧远山所杀
鸠摩智,中文名,鸠摩智
杨逍,中文名,杨逍
华筝,小说父亲,成吉思汗
逍遥子,星座,
徐天宏,登场作品,
凌退思,结局,抢夺梁武帝宝藏时
华筝,小说兄长,术赤
卫春华,四哥,文泰来
阿碧,心上人,慕容复
玉真子,门派,铁剑门
逍遥子,毕业院校,上海财经大学
萧远山,登场作品,《天龙八部》
无尘道长,身份,红花会二当家
陆菲青,武器,
鹤笔翁,饰演,车保罗
觉远,饰演,高雄
长平公主,出生日期,1629年
朱丹臣,武器,判官笔
冯锡范,门派,昆仑派
任盈盈,代表作品,琴曲《有所思》
蒋四根,三哥,赵半山
徐天宏,身份,
玉如意,来源,
杨逍,登场作品,《倚天屠龙记》
李莫愁,饰演,雪梨
何足道,年龄,三十余岁
于人豪,饰演,李瑞超（2013霍建华版）
金庸,主要成就,法国文化部法国艺术及文学司令勋衔
小昭,饰演,江希文
鸠摩智,国籍,吐蕃国
马行空,徒弟,徐铮
杨过,久居地,嘉兴
杨铁心,职业,武术家
石破天,别名,大粽子
李泰,身高,
木婉清,别名,婉妹
陆冠英,父亲,陆乘风
郭襄,才艺,书
尼摩星,性别,男
马光佐,饰演,张伸
王难姑,退场时间,
忽必烈,庙号,元世祖
徐志摩,笔名,章垿等
杜治芬,出生日期,1930年
岳不群,修习武功,紫霞神功
周芷若,饰演,邓萃雯（1986年香港无线电视剧）
天门道人,师叔,玉玑子
左冷禅,饰演,收起
曲灵风,师父,黄药师
张无忌,饰演,苏有朋（2003年合拍电视剧）
福康安,追封,嘉勇郡王
张无忌,饰演,展开
徐志摩,职业,诗人、作家
吕留良,本名,吕留良
曲三,其他名称,曲三
乔峰,年龄,三十三岁（享年）
杨逍,女儿,杨不悔
华筝,民族,蒙古族
天山童姥,门派,逍遥派
余鱼同,四嫂,骆冰
杨成协,四哥,文泰来
耶律齐,武功,空明拳等
史红石,年龄,十二三岁左右
阳顶天,中文名,阳顶天
杨不悔,第一次登场,
平阿四,登场作品,
慕容复,性别,男
王重阳,师弟,周伯通
赵敏,别名,敏敏特穆尔
李沅芷,职业,侠客
梦姑,登场作品,《天龙八部》
杨康,饰演,袁弘2008版《射雕英雄传》
马行空,别名,百胜神拳
安剑清,女婿,崔希敏
梁自进,师兄,廖自砺
卫春华,六哥,常伯志
李莫愁,配音,黄玉娟
吴六奇,所处时代,
韦双双,别名,
纪晓芙,饰演,陶虹
曲傻姑,饰演,王莎莎
鳌拜,主要成就,征朝鲜
杨过,师傅,神雕
多尔衮,逝世地,古北口外喀喇城
陆菲青,門派,屠龙帮→武当派
段天德,职业,
陆冠英,饰演,展开
段智兴,身份,高僧一灯大师
蓝凤凰,义嫂,任盈盈
渡厄,师侄,
仪琳,别名,琳儿
完颜洪烈,养子,完颜康
朱由榔,主要成就,西南抗清
梅超风,饰演,孔维2008版《射雕英雄传》
郭啸天,孙女,郭芙
杨过,中文名,杨过
段智兴,饰演,郑伊健
袁士霄,登场作品,《书剑恩仇录》
武三通,民族,白族
黄蓉,饰演,朱茵
李彧,外文名,Li Yu
刀白凤,情敌,秦红棉
多尔衮,谥号,懋德修道广业定功安民立政诚敬义皇帝（顺治七年追谥
李泰,体重,
朱丹臣,别名,笔砚生
穆人清,门派,华山派
钱永刚,国籍,中国
水笙,饰演,谢宁（89年香港无綫电视剧）
焦木和尚,性别,男
冷谦,本名,冷谦
平阿四,其他名称,癞痢头阿四
哑婆婆,性别,女
安小慧,中文名,安小慧
完颜萍,出生地,金国
吴立身,徒弟,敖彪
公孙止,武功,阴阳倒乱刃法
曲三,女儿,曲傻姑
天门道人,个性,嫉恶如仇
任盈盈,别名,收起
公孙止,性别,男
丁春秋,徒弟,阿紫等
白自在,中文名,白自在
马夫人,情夫,白世镜
风清扬,属下,桃谷六仙
孙不二,出生日期,1119年
金庸,代表作品,射雕英雄传
袁承志,出生地,
任盈盈,门派,日月神教
张翠山,义兄,谢逊
和珅,别名,和珅
陆菲青,别名,陆高止
萧峰,性别,
张三丰,民族族群,汉族
程灵素,结局,牺牲自己替他啜毒而死
南海鳄神,饰演,李彧（03版）
云中鹤,主要成就,新月派代表诗人
莫声谷,师兄,张翠山
张三丰,所处时代,南宋末年
陶红英,饰演,陈安莹（98版鹿鼎记）韩月乔（08版鹿鼎记）
完颜洪烈,别名,王爷
甘宝宝,出场章回,第四十八章
殷离,年龄,十八岁（成年后再次登场）
刀白凤,性别,
袁承志,主要成就,
陆冠英,配偶,程瑶迦
忽必烈,主要成就,首创行省制度
劳德诺,别名,萨老头
何太冲,身份,昆仑派掌门
左子穆,徒弟,龚光杰 
黄真,身份,华山派掌门
纪晓芙,别名,芙妹
扫地僧,饰演,叶夏利
赵敏,性别,女
殷野王,门派,
张三丰,出生日期,4月9日
陈家洛,民族,汉族
阿朱,居所,姑苏听香水榭
陆冠英,饰演,张鸿昌
岳灵珊,年龄,死时20岁
穆人清,徒孙,梅剑和
秦红棉,绰号,修罗刀
段智兴,登场作品,《神雕侠侣》
何红药,情敌,温仪
完颜萍,国籍,金国
小玄子,登场作品,《鹿鼎记》
阿九,别名,朱媺娖
无崖子,武功绝学,「北冥神功」
李莫愁,师父,林朝英的丫鬟
洪七公,饰演,梁家仁
林乐怡,别名,金迷称“小龙女”
袁承志,岳母,温仪
焦宛儿,恩公,袁承志
慕容博,武功,
苏荃,前夫,
符敏仪,尊主,虚竹
钱均夫,儿子,钱学森
小龙女,饰演,陈妍希
乔峰,配音,黄河（1997年香港无线电视剧）
劳德诺,中文名,劳德诺
林乐怡,外文名,
梁子翁,结局,
欧阳克,别名,小毒物
花万紫,师兄,白万剑
陆冠英,师祖,黄药师
胡青牛,饰演,罗国维
华筝,小说兄长,拖雷
范百龄,所属作品,天龙八部
杜百当,中文名,
武三娘,中文名,
白世镜,武器,破甲锥
杨莲亭,饰演,牛宝军
殷素素,门派,天鹰教
殷野王,妹夫,
徐天川,别名,八臂猿猴、徐大哥
王进宝,主要成就,平定三藩之乱
于万亭,心上人,陈家洛母亲徐氏
南兰,饰演,曹众1999版《雪山飞狐》
天鸣方丈,别名,天鸣禅师
陆菲青,师弟,张召重
耶律楚材,主要作品,《湛然居士文集》等
杨铁心,仇人,段天德
郭襄,饰演,李绮红
萧远山,性别,男
胡桂南,性别,男
郭靖,武功家数,空明拳
朱元璋,主要成就,建立明朝，推翻元朝统治休养生息，开创洪武之治
耶律洪基,年号,大安（1085年）
段智兴,弟子,慈恩（裘千仞）
胡一刀,民族,汉族
何红药,侄女,
张无忌,配音,粤语
黛绮丝,饰演,夏萍 香港邵氏电影《倚天屠龙记》
吴长风,身份,丐帮六大长老之一
全金发,老大,柯镇恶
曲傻姑,性别,
朱由检,陵墓,思陵
何沅君,登场作品,
程英,饰演,展开
拓跋宏,年号,太和（477年-499年）
武烈,解释,武功
余沧海,登场作品,《笑傲江湖》
史红石,门派,丐帮
杨铁心,旧版儿媳,秦南琴
黄蓉,配音,黄怡晴
范遥,饰演,王维德
郭芙,中文名,郭芙
段正明,主要成就,与四大恶人之首的“恶贯满盈”段延庆切磋一阳指为了请黄眉僧解救段誉而免除大理国的盐税为便于对抗鸠摩智而出家为僧
欧阳锋,别名,锋兄
史小翠,丈夫,
段正淳,饰演,潘志文
殷天正,出生日期,
阿朱,别名,朱碧双姝（与阿碧合称）
殷天正,职业,
点苍渔隐,性别,男
赵志敬,饰演,饰演
欧阳锋,宿敌,“北丐”洪七公
双儿,年龄,15（新修版）
耶律齐,饰演,詹秉熙
王进宝,官职,奋威将军
岳灵珊,父母,
完颜洪烈,饰演,鲍大志
范文程,出生日期,1597年（万历二十五年）
段正淳,饰演,展开
白自在,饰演,常枫
焦公礼,所处朝代,明朝
殷天正,别名,
钟灵,姐妹,阿朱
邓炳春,领导,苏荃
李可秀,职务,
李彧,国籍,中国
尼摩星,配音,陈欣（2006版刘亦菲主演电视剧）
