id,名,domain,range,is_transitive,is_symmetric,is_functional,inverseof,inversefunctional,sameas,subpropertyof,关系/属性
1,曾祖母,人,女人,0,0,1,None,0,None,None,关系
2,祖师爷,人,人,0,0,0,None,0,None,None,关系
3,徒弟,人,人,0,0,0,师父,0,None,None,关系
4,代表作品,人,作品,0,0,0,None,1,,None,属性
5,武器,人,武器,0,0,0,None,0,兵器,None,属性
6,师弟,人,男人,0,0,0,None,0,None,None,关系
7,岳父,人,男人,0,0,0,None,0,None,None,关系
8,庙号,人,名称,0,0,0,None,0,None,None,属性
9,星宿三宝,人,物品,0,0,0,None,0,None,None,属性
10,师伯,人,人,0,0,0,None,0,None,None,关系
11,侍婢,人,女人,0,0,0,None,0,None,None,关系
12,师叔祖,人,人,0,0,0,None,0,None,None,关系
13,出场年龄,人,年龄,0,0,1,None,0,None,None,属性
14,形象,人,外貌,0,0,0,None,0,,None,属性
15,配偶,人,人,0,1,0,配偶,0,爱侣,None,关系
16,武功境界,人,境界,0,0,0,None,0,None,None,属性
17,鄙视的人,人,人,0,0,0,None,0,None,None,关系
18,军职,人,职位,0,0,0,None,0,,None,属性
19,子女,人,人,0,0,0,父母,0,None,None,关系
20,夫君,女人,男人,0,0,0,妻子,0,丈夫,None,关系
21,三弟,人,男人,0,0,1,None,0,None,None,关系
22,爱徒,人,人,0,0,0,师父,0,徒弟,None,关系
23,防身,人,物品,0,0,0,None,0,None,None,属性
24,师友,人,人,0,1,0,师友,0,None,好友,关系
25,女儿,人,女人,0,0,0,None,0,None,None,关系
26,精擅武功,人,武功,0,0,0,None,0,武功,None,属性
27,情夫,女人,男人,0,0,0,None,0,None,None,关系
28,死因,人,事件,0,0,0,None,0,None,None,属性
29,异名,人,名称,0,0,0,None,0,None,None,属性
30,盟友,人,人,0,1,0,None,0,None,None,关系
31,岳母,男人,女人,0,0,0,None,0,None,None,关系
32,结拜兄弟,男人,男人,0,1,0,结拜兄弟,0,None,None,关系
33,师母,人,女人,0,0,0,None,0,None,None,关系
34,帮主,人,人,0,0,0,None,0,None,None,关系
35,性别,人,性别,0,0,1,None,0,None,None,属性
36,小说国籍,人,国家,0,0,1,None,0,国籍,None,属性
37,爷爷,人,男人,0,0,1,None,0,,None,关系
38,性格特点,人,特点,0,0,0,None,0,性格,None,属性
39,五弟,人,男人,0,0,1,None,0,None,None,关系
40,在位,人,时间,0,0,1,None,1,None,None,属性
41,信仰,人,宗教,0,0,1,None,0,小说信仰,None,属性
42,知己,人,人,0,1,0,知己,0,None,None,关系
43,兄长,人,男人,1,0,0,None,0,,None,关系
44,爱慕者,人,人,0,0,0,None,0,,None,关系
45,儿媳,人,女人,0,0,0,None,0,儿媳妇,家人,关系
46,女婿,人,男人,0,0,0,None,0,None,None,关系
47,徒孙,人,人,0,0,0,None,0,None,None,关系
48,二儿子,人,男人,0,0,1,None,0,None,None,关系
49,穿着,人,外貌,0,0,0,None,0,None,None,属性
50,大哥,人,男人,0,0,1,None,0,None,None,关系
51,小说心上人,人,人,0,0,0,None,0,心上人,None,关系
52,最要成就,男人,事件,0,0,0,None,0,None,None,属性
53,化名,人,名称,0,0,0,None,0,None,None,属性
54,侄子,人,男人,0,0,0,None,0,None,None,关系
55,朝代,人,朝代,0,0,0,None,0,None,None,属性
56,电视剧结局,人,事件,0,0,1,None,1,None,None,属性
57,国籍,人,国家,0,0,1,None,0,,None,属性
58,居所,人,地点,0,0,0,None,0,,None,属性
59,追封,人,名称,0,0,1,None,1,None,None,属性
60,小说门派,人,组织,0,0,0,None,0,门派,None,属性
61,军衔,人,军衔,0,0,0,None,0,军职,None,属性
62,民族,人,民族,0,0,1,None,0,,None,属性
63,侄媳兼义侄女,人,女人,0,0,1,None,1,None,None,属性
64,世兄,人,男人,0,0,0,None,0,None,None,关系
65,六哥,人,男人,0,0,1,None,0,None,None,关系
66,亲属,人,人,0,1,0,亲属,0,None,None,关系
67,所处时代,人,朝代,0,0,0,None,0,朝代,None,属性
68,八哥,人,男人,0,0,1,None,0,None,None,关系
69,地位,人,地位,0,0,1,None,1,小说地位,None,属性
70,宠物,人,动物,0,0,0,None,1,None,None,属性
71,容貌,人,外貌,0,0,0,None,0,,None,属性
72,四哥,人,男人,0,0,1,None,0,None,None,关系
73,轻功,人,武功,0,0,0,None,0,None,None,属性
74,角色属性,人,属性,0,0,1,None,0,None,None,属性
75,血统,人,血统,0,0,1,None,0,None,None,属性
76,师傅,人,人,0,0,0,徒弟,0,,None,关系
77,体重,人,重量,0,0,1,None,0,None,None,属性
78,出自,人,作品,0,0,1,None,0,,None,属性
79,人物出处,人,作品,0,0,1,None,0,出自,None,属性
80,前妻,人,女人,0,0,0,前夫,0,None,None,关系
81,招数,人,武功,0,0,0,None,0,None,None,属性
82,外貌特点,人,外貌,0,0,0,None,0,容貌,None,属性
83,义弟,人,男人,0,0,0,None,0,None,None,关系
84,官职,人,职位,0,0,0,None,0,None,None,属性
85,结义兄弟,男人,男人,0,1,0,结义兄弟,0,结拜兄弟,None,关系
86,总舵主,人,人,0,0,0,None,0,None,None,关系
87,其他名称,人,名称,0,0,0,None,0,None,None,属性
88,擅长,人,特长,0,0,0,None,0,None,None,属性
89,九哥,人,男人,0,0,1,None,0,None,None,关系
90,七弟,人,男人,0,0,1,None,0,None,None,关系
91,封爵,人,爵位,0,0,1,None,0,封爵,None,属性
92,执念,人,,,,,None,,None,None,属性
93,参加革命时间,人,时间,0,0,1,None,0,None,None,属性
94,不服之人,人,人,0,0,0,None,0,None,None,关系
95,义兄,人,男人,0,0,0,None,0,None,None,关系
96,恋人,人,人,0,1,0,恋人,0,None,None,关系
97,前夫,人,男人,0,0,0,前妻,0,,None,关系
98,字,人,名称,0,0,1,None,0,None,None,属性
99,表姐,人,女人,0,0,0,None,0,None,None,关系
100,孙女,人,女人,0,0,0,None,0,None,None,关系
101,出生时间,人,时间,0,0,1,None,0,None,None,属性
102,字号,人,名称,0,0,1,None,0,None,None,属性
103,师祖,人,人,0,0,0,None,0,None,None,关系
104,曾用兵器,人,武器,0,0,0,None,0,None,使用兵器,属性
105,伯父,人,男人,0,0,0,None,0,None,None,关系
106,出场章回,人,章回,0,0,0,None,0,None,None,属性
107,逝世日期,人,时间,0,0,1,None,0,,None,属性
